firstname,surname,ssn,born_country_code,died_country_code,gender,year,category,share,name_of_university,city_of_university,country_of_university,born_month,age,age_get_prize
Edwin G.,Krebs,220-17-7600,US,US,male,1992,medicine,2,University of Washington,Seattle WA,USA,Jun,91,74
Richard J.,Roberts,345-26-4930,GB,,male,1993,medicine,2,New England Biolabs,Beverly MA,USA,Sep,77,50
Phillip A.,Sharp,579-85-1693,US,,male,1993,medicine,2,Massachusetts Institute of Technology (MIT) Center for Cancer Research,Cambridge MA,USA,Jun,76,49
Alfred G.,Gilman,100-63-8979,US,US,male,1994,medicine,2,University of Texas Southwestern Medical Center at Dallas,Dallas TX,USA,Jul,74,53
Martin,Rodbell,529-37-4678,US,US,male,1994,medicine,2,National Institute of Environmental Health Sciences,Research Triangle Park NC,USA,Dec,73,69
Edward B.,Lewis,795-68-3789,US,US,male,1995,medicine,3,California Institute of Technology (Caltech),Pasadena CA,USA,May,86,77
Christiane,Nüsslein-Volhard,174-75-5657,DE,,female,1995,medicine,3,Max-Planck-Institut für Entwicklungsbiologie,Tübingen,Germany,Oct,78,53
Eric F.,Wieschaus,754-83-3026,US,,male,1995,medicine,3,Princeton University,Princeton NJ,USA,Jun,73,48
Peter C.,Doherty,470-29-4160,AU,,male,1996,medicine,2,St. Jude Children's Research Hospital,Memphis TN,USA,Oct,80,56
Rolf M.,Zinkernagel,209-19-7700,CH,,male,1996,medicine,2,University of Zurich Institute of Experimental Immunology,Zurich,Switzerland,Jan,76,52
Stanley B.,Prusiner,732-72-5378,US,,male,1997,medicine,1,University of California School of Medicine,San Francisco CA,USA,May,78,55
Robert F.,Furchgott,980-45-6874,US,US,male,1998,medicine,3,SUNY Health Science Center,Brooklyn NY,USA,Jun,93,82
Louis J.,Ignarro,810-33-7719,US,,male,1998,medicine,3,University of California School of Medicine,Los Angeles CA,USA,May,79,57
Ferid,Murad,630-26-9039,US,,male,1998,medicine,3,University of Texas Medical School at Houston,Houston TX,USA,Sep,84,62
Günter,Blobel,260-31-4126,PL,US,male,1999,medicine,1,Rockefeller University,New York NY,USA,May,82,63
Henry,Dunant,964-64-6376,CH,CH,male,1901,peace,2,,,,May,82,73
Frédéric,Passy,321-33-5647,FR,FR,male,1901,peace,2,,,,May,90,79
Élie,Ducommun,763-93-7712,CH,CH,male,1902,peace,2,,,,Feb,73,69
Albert,Gobat,601-71-2129,CH,CH,male,1902,peace,2,,,,May,71,59
Randal,Cremer,363-89-9931,GB,GB,male,1903,peace,1,,,,Mar,80,75
Bertha,von Suttner,236-23-7029,CZ,AT,female,1905,peace,1,,,,Jun,71,62
Theodore,Roosevelt,426-79-4647,US,US,male,1906,peace,1,,,,Oct,61,48
Ernesto Teodoro,Moneta,397-74-3096,IT,IT,male,1907,peace,2,,,,Sep,85,74
Louis,Renault,508-17-5141,FR,FR,male,1907,peace,2,Sorbonne University,Paris,France,May,75,64
Klas Pontus,Arnoldson,304-83-1356,SE,SE,male,1908,peace,2,,,,Oct,72,64
Fredrik,Bajer,592-74-9473,DK,DK,male,1908,peace,2,,,,Apr,85,71
Auguste,Beernaert,954-36-2250,BE,CH,male,1909,peace,2,,,,Jul,83,80
Paul Henri,d'Estournelles de Constant,282-23-4316,FR,FR,male,1909,peace,2,,,,Nov,72,57
Tobias,Asser,757-70-9354,NL,NL,male,1911,peace,2,,,,Apr,75,73
Alfred,Fried,833-11-8992,AT,AT,male,1911,peace,2,,,,Nov,57,47
Elihu,Root,673-51-7151,US,US,male,1912,peace,1,,,,Feb,92,67
Henri,La Fontaine,472-25-2530,BE,BE,male,1913,peace,1,,,,Apr,89,59
Woodrow,Wilson,286-21-1322,US,US,male,1919,peace,1,,,,Dec,68,63
Léon,Bourgeois,201-20-1640,FR,FR,male,1920,peace,1,,,,May,74,69
Hjalmar,Branting,928-65-9294,SE,SE,male,1921,peace,2,,,,Nov,65,61
Christian,Lange,241-23-9864,NO,NO,male,1921,peace,2,,,,Sep,69,52
Fridtjof,Nansen,192-41-3666,NO,NO,male,1922,peace,1,,,,Oct,69,61
Sir Austen,Chamberlain,807-53-6682,GB,GB,male,1925,peace,2,,,,Oct,74,62
Charles G.,Dawes,461-40-9247,US,US,male,1925,peace,2,,,,Aug,86,60
Aristide,Briand,635-28-4860,FR,FR,male,1926,peace,2,,,,Mar,70,64
Gustav,Stresemann,512-70-4130,DE,DE,male,1926,peace,2,,,,May,51,48
Ferdinand,Buisson,879-91-9090,FR,FR,male,1927,peace,2,,,,Dec,91,86
Ludwig,Quidde,596-93-7322,DE,CH,male,1927,peace,2,,,,Mar,83,69
Frank B.,Kellogg,295-99-3202,US,US,male,1929,peace,1,,,,Dec,81,73
Nathan,Söderblom,211-38-3998,SE,SE,male,1930,peace,1,,,,Jan,65,64
Jane,Addams,994-35-5272,US,US,female,1931,peace,2,,,,Sep,75,71
Nicholas Murray,Butler,528-11-4891,US,US,male,1931,peace,2,Columbia University,New York NY,USA,Apr,85,69
Sir Norman,Angell,922-36-9712,GB,GB,male,1933,peace,1,,,,Dec,95,61
Arthur,Henderson,612-60-8590,GB,GB,male,1934,peace,1,,,,Sep,72,71
Carl,von Ossietzky,650-34-6767,DE,DE,male,1935,peace,1,,,,Oct,49,46
Carlos,Saavedra Lamas,777-91-8248,AR,AR,male,1936,peace,1,,,,Nov,81,58
Robert,Cecil,969-54-7861,GB,GB,male,1937,peace,1,,,,Sep,94,73
Cordell,Hull,441-37-3529,US,US,male,1945,peace,1,,,,Oct,84,74
Emily Greene,Balch,358-15-2235,US,US,female,1946,peace,2,,,,Jan,94,79
John R.,Mott,182-21-1548,US,US,male,1946,peace,2,,,,May,90,81
John,Boyd Orr,217-43-5467,GB,GB,male,1949,peace,1,,,,Sep,91,69
Ralph,Bunche,470-93-4559,US,US,male,1950,peace,1,Harvard University,Cambridge MA,USA,Aug,67,46
Léon,Jouhaux,326-91-1470,FR,FR,male,1951,peace,1,,,,Jul,75,72
Albert,Schweitzer,379-65-2642,FR,GA,male,1952,peace,1,,,,Jan,90,77
George C.,Marshall,820-85-4432,US,US,male,1953,peace,1,,,,Dec,79,73
Lester Bowles,Pearson,106-63-4030,CA,CA,male,1957,peace,1,,,,Apr,75,60
Georges,Pire,341-45-9554,BE,BE,male,1958,peace,1,,,,Feb,59,48
Philip,Noel-Baker,275-29-9366,GB,GB,male,1959,peace,1,,,,Nov,93,70
Albert,Luthuli,612-40-8030,ZW,ZA,male,1960,peace,1,,,,Jul,69,62
Dag,Hammarskjöld,768-89-6911,SE,ZM,male,1961,peace,1,,,,Jul,56,56
Martin Luther,King Jr.,670-70-3402,US,US,male,1964,peace,1,,,,Jan,39,35
René,Cassin,688-30-9726,FR,FR,male,1968,peace,1,,,,Oct,89,81
Norman,Borlaug,939-19-7598,US,US,male,1970,peace,1,,,,Mar,95,56
Willy,Brandt,175-54-7278,DE,DE,male,1971,peace,1,,,,Dec,79,58
Henry,Kissinger,570-23-3074,DE,,male,1973,peace,2,,,,May,97,50
Le Duc Tho,,291-31-9364,VN,VN,male,1973,peace,2,,,,Oct,79,62
Seán,MacBride,651-66-1355,FR,IE,male,1974,peace,2,,,,Jan,84,70
Eisaku,Sato,224-36-6673,JP,JP,male,1974,peace,2,,,,Mar,74,73
Andrei,Sakharov,579-12-1424,RU,RU,male,1975,peace,1,,,,May,68,54
Betty,Williams,928-67-2849,GB,GB,female,1976,peace,2,,,,May,77,33
Mairead,Corrigan,543-22-2584,GB,,female,1976,peace,2,,,,Jan,76,32
Anwar,al-Sadat,480-25-9816,EG,EG,male,1978,peace,2,,,,Dec,63,60
Menachem,Begin,319-28-8700,BY,IL,male,1978,peace,2,,,,Aug,79,65
Anjezë Gonxhe,Bojaxhiu,881-62-1758,MK,IN,female,1979,peace,1,,,,Aug,87,69
Adolfo,Pérez Esquivel,191-68-9826,AR,,male,1980,peace,1,,,,Nov,89,49
Alva,Myrdal,830-30-2986,SE,SE,female,1982,peace,2,,,,Jan,84,80
Alfonso,García Robles,204-15-4279,MX,MX,male,1982,peace,2,,,,Mar,80,71
Lech,Walesa,375-91-9210,PL,,male,1983,peace,1,,,,Sep,77,40
Desmond,Tutu,422-31-5000,ZA,,male,1984,peace,1,,,,Oct,89,53
Elie,Wiesel,480-22-7672,RO,US,male,1986,peace,1,,,,Sep,88,58
Oscar,Arias Sánchez,952-43-6794,CR,,male,1987,peace,1,,,,Sep,80,47
Lhamo,Thondup,641-90-8619,CN,,male,1989,peace,1,,,,Jul,85,54
Mikhail,Gorbachev,988-28-6969,RU,,male,1990,peace,1,,,,Mar,89,59
Aung San Suu Kyi,,975-78-6468,MM,,female,1991,peace,1,,,,Jun,75,46
Rigoberta,Menchú Tum,343-49-9809,GT,,female,1992,peace,1,,,,Jan,61,33
Nelson,Mandela,795-43-5110,ZA,ZA,male,1993,peace,2,,,,Jul,95,75
F.W.,de Klerk,444-82-4367,ZA,,male,1993,peace,2,,,,Mar,84,57
Yasser,Arafat,546-37-3018,EG,FR,male,1994,peace,3,,,,Aug,75,65
Shimon,Peres,449-20-4854,BY,IL,male,1994,peace,3,,,,Aug,93,71
Yitzhak,Rabin,726-83-8128,IL,IL,male,1994,peace,3,,,,Mar,73,72
Joseph,Rotblat,897-84-3351,PL,GB,male,1995,peace,2,,,,Nov,97,87
Carlos Filipe Ximenes,Belo,223-88-6063,TL,,male,1996,peace,2,,,,Feb,72,48
José,Ramos-Horta,101-77-1355,TL,,male,1996,peace,2,,,,Dec,71,47
Jody,Williams,344-46-1029,US,,female,1997,peace,2,,,,Oct,70,47
John,Hume,525-23-7321,GB,,male,1998,peace,2,,,,Jan,83,61
David,Trimble,138-37-8092,GB,,male,1998,peace,2,,,,Oct,76,54
Sully,Prudhomme,565-34-4894,FR,FR,male,1901,literature,1,,,,Mar,68,62
Theodor,Mommsen,517-56-4982,DE,DE,male,1902,literature,1,,,,Nov,86,85
Bjørnstjerne,Bjørnson,242-88-7856,NO,FR,male,1903,literature,1,,,,Dec,78,71
Frédéric,Mistral,409-27-9067,FR,FR,male,1904,literature,2,,,,Sep,84,74
José,Echegaray,338-10-7695,ES,ES,male,1904,literature,2,,,,Apr,84,72
Henryk,Sienkiewicz,972-71-4358,PL,CH,male,1905,literature,1,,,,May,70,59
Giosuè,Carducci,411-72-9333,IT,IT,male,1906,literature,1,,,,Jul,72,71
Rudyard,Kipling,283-10-2505,IN,GB,male,1907,literature,1,,,,Dec,71,42
Rudolf,Eucken,830-63-1047,DE,DE,male,1908,literature,1,,,,Jan,80,62
Selma,Lagerlöf,525-93-7775,SE,SE,female,1909,literature,1,,,,Nov,82,51
Paul,Heyse,515-68-4507,DE,DE,male,1910,literature,1,,,,Mar,84,80
Maurice,Maeterlinck,567-40-7921,BE,FR,male,1911,literature,1,,,,Aug,87,49
Gerhart,Hauptmann,648-96-8227,PL,PL,male,1912,literature,1,,,,Nov,84,50
Rabindranath,Tagore,165-50-2499,IN,IN,male,1913,literature,1,,,,May,80,52
Romain,Rolland,830-68-9192,FR,FR,male,1915,literature,1,,,,Jan,78,49
Verner,von Heidenstam,726-36-4655,SE,SE,male,1916,literature,1,,,,Jul,81,57
Karl,Gjellerup,397-52-4014,DK,DE,male,1917,literature,2,,,,Jun,62,60
Henrik,Pontoppidan,538-20-8169,DK,DK,male,1917,literature,2,,,,Jul,86,60
Carl,Spitteler,306-23-9840,CH,CH,male,1919,literature,1,,,,Apr,79,74
Knut,Hamsun,879-25-6300,NO,NO,male,1920,literature,1,,,,Aug,93,61
Anatole,France,813-82-6535,FR,FR,male,1921,literature,1,,,,Apr,80,77
Jacinto,Benavente,822-87-3886,ES,ES,male,1922,literature,1,,,,Aug,88,56
William Butler,Yeats,753-29-6611,IE,FR,male,1923,literature,1,,,,Jun,74,58
Wladyslaw,Reymont,122-70-7896,PL,PL,male,1924,literature,1,,,,May,58,57
George Bernard,Shaw,221-21-8285,IE,GB,male,1925,literature,1,,,,Jul,94,69
Grazia,Deledda,797-55-3956,IT,IT,female,1926,literature,1,,,,Sep,65,55
Henri,Bergson,176-82-8044,FR,FR,male,1927,literature,1,,,,Oct,82,68
Sigrid,Undset,688-45-3150,DK,NO,female,1928,literature,1,,,,May,67,46
Thomas,Mann,166-76-9196,DE,CH,male,1929,literature,1,,,,Jun,80,54
Sinclair,Lewis,851-48-2984,US,IT,male,1930,literature,1,,,,Feb,66,45
Erik Axel,Karlfeldt,315-32-7293,SE,SE,male,1931,literature,1,,,,Jul,67,67
John,Galsworthy,480-71-1837,GB,GB,male,1932,literature,1,,,,Aug,66,65
Ivan,Bunin,706-36-9178,RU,FR,male,1933,literature,1,,,,Oct,83,63
Luigi,Pirandello,922-94-5634,IT,IT,male,1934,literature,1,,,,Jun,69,67
Eugene,O'Neill,109-69-9322,US,US,male,1936,literature,1,,,,Oct,65,48
Roger,Martin du Gard,728-51-6986,FR,FR,male,1937,literature,1,,,,Mar,77,56
Pearl,Buck,358-17-1436,US,US,female,1938,literature,1,,,,Jun,81,46
Frans Eemil,Sillanpää,465-11-6298,FI,FI,male,1939,literature,1,,,,Sep,76,51
Johannes V.,Jensen,617-11-5991,DK,DK,male,1944,literature,1,,,,Jan,77,71
Gabriela,Mistral,276-11-1992,CL,US,female,1945,literature,1,,,,Apr,68,56
Hermann,Hesse,295-90-9363,DE,CH,male,1946,literature,1,,,,Jul,85,69
André,Gide,123-99-2520,FR,FR,male,1947,literature,1,,,,Nov,82,78
T.S.,Eliot,479-35-9513,US,GB,male,1948,literature,1,,,,Sep,77,60
William,Faulkner,903-94-2409,US,US,male,1949,literature,1,,,,Sep,65,52
Bertrand,Russell,852-62-8298,GB,GB,male,1950,literature,1,,,,May,98,78
Pär,Lagerkvist,326-83-5831,SE,SE,male,1951,literature,1,,,,May,83,60
François,Mauriac,819-88-9587,FR,FR,male,1952,literature,1,,,,Oct,85,67
Winston,Churchill,837-56-5700,GB,GB,male,1953,literature,1,,,,Nov,91,79
Ernest,Hemingway,355-26-7440,US,US,male,1954,literature,1,,,,Jul,62,55
Halldór,Laxness,161-35-1284,IS,IS,male,1955,literature,1,,,,Apr,96,53
Juan Ramón,Jiménez,594-32-8549,ES,PR,male,1956,literature,1,,,,Dec,77,75
Albert,Camus,760-69-7455,DZ,FR,male,1957,literature,1,,,,Nov,47,44
Boris,Pasternak,971-42-2805,RU,RU,male,1958,literature,1,,,,Feb,70,68
Salvatore,Quasimodo,994-17-9785,IT,IT,male,1959,literature,1,,,,Aug,67,58
Saint-John,Perse,641-21-9115,GP,FR,male,1960,literature,1,,,,May,88,73
Ivo,Andric,465-32-1291,BA,RS,male,1961,literature,1,,,,Oct,83,69
John,Steinbeck,404-19-6665,US,US,male,1962,literature,1,,,,Feb,66,60
Giorgos,Seferis,405-11-8259,TR,GR,male,1963,literature,1,,,,Mar,71,63
Jean-Paul,Sartre,229-51-9253,FR,FR,male,1964,literature,1,,,,Jun,75,59
Mikhail,Sholokhov,179-20-7111,RU,RU,male,1965,literature,1,,,,May,79,60
Shmuel,Agnon,341-72-5783,UA,IL,male,1966,literature,2,,,,Jul,82,78
Nelly,Sachs,103-62-3960,DE,SE,female,1966,literature,2,,,,Dec,79,75
Miguel Angel,Asturias,279-58-1768,GT,ES,male,1967,literature,1,,,,Oct,75,68
Yasunari,Kawabata,208-14-1970,JP,JP,male,1968,literature,1,,,,Jun,73,69
Samuel,Beckett,482-85-5518,IE,FR,male,1969,literature,1,,,,Apr,83,63
Alexandr,Solzhenitsyn,381-47-8844,RU,RU,male,1970,literature,1,,,,Dec,90,52
Pablo,Neruda,424-53-3804,CL,CL,male,1971,literature,1,,,,Jul,69,67
Heinrich,Böll,743-31-8296,DE,DE,male,1972,literature,1,,,,Dec,68,55
Patrick,White,900-60-4073,GB,AU,male,1973,literature,1,,,,May,78,61
Eyvind,Johnson,538-23-5313,SE,SE,male,1974,literature,2,,,,Jul,76,74
Harry,Martinson,721-24-9880,SE,SE,male,1974,literature,2,,,,May,74,70
Eugenio,Montale,776-84-8077,IT,IT,male,1975,literature,1,,,,Oct,85,79
Saul,Bellow,134-18-4555,CA,US,male,1976,literature,1,,,,Jun,90,61
Vicente,Aleixandre,238-24-7157,ES,ES,male,1977,literature,1,,,,Apr,86,79
Isaac Bashevis,Singer,280-13-2274,PL,US,male,1978,literature,1,,,,Jul,87,74
Odysseus,Elytis,582-12-7679,GR,GR,male,1979,literature,1,,,,Nov,85,68
Czeslaw,Milosz,546-68-9001,LT,PL,male,1980,literature,1,,,,Jun,93,69
Elias,Canetti,883-45-9868,BG,CH,male,1981,literature,1,,,,Jul,89,76
Gabriel,García Márquez,208-15-5117,CO,MX,male,1982,literature,1,,,,Mar,87,55
William,Golding,103-79-8135,GB,GB,male,1983,literature,1,,,,Sep,82,72
Jaroslav,Seifert,464-32-7476,CZ,CZ,male,1984,literature,1,,,,Sep,85,83
Claude,Simon,982-33-1510,MG,FR,male,1985,literature,1,,,,Oct,92,72
Wole,Soyinka,316-19-9960,NG,,male,1986,literature,1,,,,Jul,86,52
Joseph,Brodsky,986-54-9919,RU,US,male,1987,literature,1,,,,May,56,47
Naguib,Mahfouz,471-52-8436,EG,EG,male,1988,literature,1,,,,Dec,95,77
Camilo José,Cela,703-43-7494,ES,ES,male,1989,literature,1,,,,May,86,73
Octavio,Paz,891-44-4972,MX,MX,male,1990,literature,1,,,,Mar,84,76
Nadine,Gordimer,367-28-4382,ZA,ZA,female,1991,literature,1,,,,Nov,91,68
Derek,Walcott,990-11-3658,LC,LC,male,1992,literature,1,,,,Jan,87,62
Toni,Morrison,747-16-1307,US,US,female,1993,literature,1,,,,Feb,88,62
Kenzaburo,Oe,145-10-9810,JP,,male,1994,literature,1,,,,Jan,85,59
Seamus,Heaney,750-40-6309,GB,IE,male,1995,literature,1,,,,Apr,74,56
Wislawa,Szymborska,169-55-5218,PL,PL,female,1996,literature,1,,,,Jul,89,73
Dario,Fo,249-44-6683,IT,IT,male,1997,literature,1,,,,Mar,90,71
José,Saramago,852-88-4843,PT,ES,male,1998,literature,1,,,,Nov,88,76
Günter,Grass,544-90-1843,PL,DE,male,1999,literature,1,,,,Oct,88,72
Ragnar,Frisch,161-73-2530,NO,NO,male,1969,economics,2,University of Oslo,Oslo,Norway,Mar,78,74
Jan,Tinbergen,352-18-4246,NL,NL,male,1969,economics,2,The Netherlands School of Economics,Rotterdam,the Netherlands,Apr,91,66
Paul A.,Samuelson,844-17-8189,US,US,male,1970,economics,1,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,May,94,55
Simon,Kuznets,428-23-1824,BY,US,male,1971,economics,1,Harvard University,Cambridge MA,USA,Apr,84,70
John R.,Hicks,267-85-4255,GB,GB,male,1972,economics,2,All Souls College,Oxford,United Kingdom,Apr,85,68
Kenneth J.,Arrow,392-81-6087,US,US,male,1972,economics,2,Harvard University,Cambridge MA,USA,Aug,96,51
Wassily,Leontief,675-48-9987,RU,US,male,1973,economics,1,Harvard University,Cambridge MA,USA,Aug,93,67
Gunnar,Myrdal,164-73-7042,SE,SE,male,1974,economics,2,,,,Dec,89,76
Friedrich,von Hayek,903-73-9183,AT,DE,male,1974,economics,2,,,,May,93,75
Leonid Vitaliyevich,Kantorovich,426-90-5661,RU,RU,male,1975,economics,2,Academy of Sciences,Moscow,USSR (now Russia),Jan,74,63
Tjalling C.,Koopmans,314-92-7676,NL,US,male,1975,economics,2,Yale University,New Haven CT,USA,Aug,75,65
Milton,Friedman,604-35-4566,US,US,male,1976,economics,1,University of Chicago,Chicago IL,USA,Jul,94,64
Bertil,Ohlin,407-72-4708,SE,SE,male,1977,economics,2,Stockholm School of Economics,Stockholm,Sweden,Apr,80,78
James E.,Meade,412-76-4123,GB,GB,male,1977,economics,2,University of Cambridge,Cambridge,United Kingdom,Jun,88,70
Herbert,Simon,554-19-1832,US,US,male,1978,economics,1,Carnegie Mellon University,Pittsburgh PA,USA,Jun,85,62
Theodore W.,Schultz,471-80-6453,US,US,male,1979,economics,2,University of Chicago,Chicago IL,USA,Apr,96,77
Sir Arthur,Lewis,525-20-6540,LC,BB,male,1979,economics,2,Princeton University,Princeton NJ,USA,Jan,76,64
Lawrence R.,Klein,641-42-9048,US,US,male,1980,economics,1,University of Pennsylvania,Philadelphia PA,USA,Sep,93,60
James,Tobin,758-96-4771,US,US,male,1981,economics,1,Yale University,New Haven CT,USA,Mar,84,63
George J.,Stigler,324-60-6972,US,US,male,1982,economics,1,University of Chicago,Chicago IL,USA,Jan,80,71
Gerard,Debreu,376-87-1882,FR,FR,male,1983,economics,1,University of California,Berkeley CA,USA,Jul,83,62
Richard,Stone,260-96-4712,GB,GB,male,1984,economics,1,University of Cambridge,Cambridge,United Kingdom,Aug,78,71
Franco,Modigliani,958-28-6432,IT,US,male,1985,economics,1,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Jun,85,67
James M.,Buchanan Jr.,811-52-6060,US,US,male,1986,economics,1,Center for Study of Public Choice,Fairfax VA,USA,Oct,94,67
Robert M.,Solow,188-43-8592,US,,male,1987,economics,1,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Aug,96,63
Maurice,Allais,536-11-6971,FR,FR,male,1988,economics,1,École Nationale Supérieur des Mines de Paris,Paris,France,May,99,77
Trygve,Haavelmo,379-91-4909,NO,NO,male,1989,economics,1,University of Oslo,Oslo,Norway,Dec,88,78
Harry M.,Markowitz,121-51-4569,US,,male,1990,economics,3,City University of New York,New York NY,USA,Aug,93,63
Merton H.,Miller,231-18-5850,US,US,male,1990,economics,3,University of Chicago,Chicago IL,USA,May,77,67
William F.,Sharpe,118-43-7245,US,,male,1990,economics,3,Stanford University,Stanford CA,USA,Jun,86,56
Ronald H.,Coase,401-74-6434,GB,US,male,1991,economics,1,University of Chicago,Chicago IL,USA,Dec,103,81
Gary,Becker,911-25-3014,US,US,male,1992,economics,1,University of Chicago,Chicago IL,USA,Dec,84,62
Robert W.,Fogel,415-44-2076,US,US,male,1993,economics,2,University of Chicago,Chicago IL,USA,Jul,86,66
Douglass C.,North,212-27-7981,US,US,male,1993,economics,2,Washington University,St. Louis MO,USA,Nov,95,73
John C.,Harsanyi,609-24-4006,HU,US,male,1994,economics,3,University of California,Berkeley CA,USA,May,80,74
John F.,Nash Jr.,326-60-1667,US,US,male,1994,economics,3,Princeton University,Princeton NJ,USA,Jun,87,66
Reinhard,Selten,592-18-8849,PL,PL,male,1994,economics,3,Rheinische Friedrich-Wilhelms-Universität,Bonn,Germany,Oct,86,64
Robert E.,Lucas Jr.,806-25-3000,US,,male,1995,economics,1,University of Chicago,Chicago IL,USA,Sep,83,58
James A.,Mirrlees,365-27-6062,GB,GB,male,1996,economics,2,University of Cambridge,Cambridge,United Kingdom,Jul,82,60
William,Vickrey,184-97-9245,CA,US,male,1996,economics,2,Columbia University,New York NY,USA,Jun,82,82
Robert C.,Merton,152-72-8763,US,,male,1997,economics,2,Harvard University,Cambridge MA,USA,Jul,76,53
Myron,Scholes,178-30-6854,CA,,male,1997,economics,2,Long Term Capital Management,Greenwich CT,USA,Jul,79,56
Amartya,Sen,805-49-6674,IN,,male,1998,economics,1,Trinity College,Cambridge,United Kingdom,Nov,87,65
Robert,Mundell,937-63-9272,CA,,male,1999,economics,1,Columbia University,New York NY,USA,Oct,88,67
Il´ja M.,Frank,215-74-3492,RU,RU,male,1958,physics,3,Lomonosov Moscow State University,Moscow,USSR (now Russia),Oct,82,50
Arvid,Carlsson,962-68-6898,SE,SE,male,2000,medicine,3,Göteborg University,Gothenburg,Sweden,Jan,95,77
Paul,Greengard,794-24-3072,US,US,male,2000,medicine,3,Rockefeller University,New York NY,USA,Dec,94,75
Eric,Kandel,260-71-6540,AT,,male,2000,medicine,3,Columbia University,New York NY,USA,Nov,91,71
Kim,Dae-jung,891-93-2305,KR,,male,2000,peace,1,,,,Dec,84,75
Zhores,Alferov,209-93-2670,BY,RU,male,2000,physics,4,A.F. Ioffe Physico-Technical Institute,St. Petersburg,Russia,Mar,89,70
Herbert,Kroemer,194-42-3468,DE,,male,2000,physics,4,University of California,Santa Barbara CA,USA,Aug,92,72
Jack,Kilby,433-72-2793,US,US,male,2000,physics,2,Texas Instruments,Dallas TX,USA,Nov,82,77
Alan,Heeger,352-24-9800,US,,male,2000,chemistry,3,University of California,Santa Barbara CA,USA,Jan,84,64
Alan,MacDiarmid,835-40-4158,NZ,US,male,2000,chemistry,3,University of Pennsylvania,Philadelphia PA,USA,Apr,80,73
Hideki,Shirakawa,815-93-4227,JP,,male,2000,chemistry,3,University of Tsukuba,Tokyo,Japan,Aug,84,64
James J.,Heckman,545-28-1537,US,,male,2000,economics,2,University of Chicago,Chicago IL,USA,Apr,76,56
Daniel L.,McFadden,173-75-7764,US,,male,2000,economics,2,University of California,Berkeley CA,USA,Jul,83,63
Xingjian,Gao,787-17-3436,CN,,male,2000,literature,1,,,,Jan,80,60
Leland,Hartwell,115-58-1557,US,,male,2001,medicine,3,Fred Hutchinson Cancer Research Center,Seattle WA,USA,Oct,81,62
Tim,Hunt,803-56-4398,GB,,male,2001,medicine,3,Imperial Cancer Research Fund,London,United Kingdom,Feb,77,58
Sir Paul,Nurse,780-25-5749,GB,,male,2001,medicine,3,Imperial Cancer Research Fund,London,United Kingdom,Jan,71,52
Eric,Cornell,857-33-9242,US,,male,2001,physics,3,University of Colorado JILA,Boulder CO,USA,Dec,59,40
Wolfgang,Ketterle,801-30-4399,DE,,male,2001,physics,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Oct,63,44
Carl,Wieman,404-98-6024,US,,male,2001,physics,3,University of Colorado JILA,Boulder CO,USA,Mar,69,50
William,Knowles,788-11-8280,US,US,male,2001,chemistry,4,,,,Jun,95,84
Ryoji,Noyori,645-55-7407,JP,,male,2001,chemistry,4,Nagoya University,Nagoya,Japan,Sep,82,63
Barry,Sharpless,562-30-1972,US,,male,2001,chemistry,2,The Scripps Research Institute,La Jolla CA,USA,Apr,79,60
George A.,Akerlof,346-13-8663,US,,male,2001,economics,3,University of California,Berkeley CA,USA,Jun,80,61
A. Michael,Spence,827-30-2893,US,,male,2001,economics,3,Stanford University,Stanford CA,USA,Nov,77,58
Joseph E.,Stiglitz,536-14-4807,US,,male,2001,economics,3,Columbia University,New York NY,USA,Feb,77,58
V. S.,Naipaul,919-94-5962,TT,GB,male,2001,literature,1,,,,Aug,86,69
Kofi,Annan,464-92-1383,GH,CH,male,2001,peace,2,,,,Apr,80,63
Sydney,Brenner,648-84-6007,ZA,SG,male,2002,medicine,3,The Molecular Sciences Institute,Berkeley CA,USA,Jan,92,75
H. Robert,Horvitz,430-71-6697,US,,male,2002,medicine,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,May,73,55
John E.,Sulston,183-36-2352,GB,,male,2002,medicine,3,The Wellcome Trust Sanger Institute,Cambridge,United Kingdom,Mar,76,60
Raymond,Davis Jr.,578-66-8159,US,US,male,2002,physics,4,University of Pennsylvania,Philadelphia PA,USA,Oct,92,88
Masatoshi,Koshiba,253-32-2109,JP,,male,2002,physics,4,University of Tokyo,Tokyo,Japan,Sep,94,76
Riccardo,Giacconi,555-58-4343,IT,US,male,2002,physics,2,Associated Universities Inc.,Washington DC,USA,Oct,87,71
John B.,Fenn,565-73-5940,US,US,male,2002,chemistry,4,Virginia Commonwealth University,Richmond VA,USA,Jun,93,85
Koichi,Tanaka,180-14-7967,JP,,male,2002,chemistry,4,Shimadzu Corp.,Kyoto,Japan,Aug,61,43
Kurt,Wüthrich,464-33-4966,CH,,male,2002,chemistry,2,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,Oct,82,64
Daniel,Kahneman,906-56-7389,IL,,male,2002,economics,2,Princeton University,Princeton NJ,USA,Mar,86,68
